,Id,Review,Date
0,5cd6881ea843690a7cd16dc8,"I baught a printer from PC World and when I had problems with it went to the Bradford store to take it back. When I said I had purchased it from them on EBAY (and they had it on their system) they said they would not deal with it. So I phoned PC World and they said I had to contact them via EBAY? I rang the number they gave me, NO ASWER so I tried to contact them via ebay nearly 2 months ago and to date have still not heard from them. What load of rubish, if they were my staff when I managed shops I would have shown them the doore. But it is not the first time I have had problems with their staff in their shop, they were very abrupt and with atitued. It is not the first time I have purchased on line and taken it back, they replaced it on that occasion. The problem with large companies is that they do not care and forget that it is we, the public that keep them going. I have walked out on many occasions because I could find staff to help me, and if you do find one they are like little Hitlers. iT IS NOT GOOD ENOUGH and they are not the cheapest on the market what ever they say. I have had to purchase a new printer from else where as I needed it for work, do PC WORLD CARE, NO. I am never dealing with them again, I know other firms that are cheeper and look after their customers far better.",2019-05-11
1,5cd68266a8436908c4167425,"Purchased an item from curry’s last Saturday (£1,600))for delivery Friday 10th May waited in for the four hour slot given only to have phone call at 19.15 to say that they had run out of driver hours and couldn’t deliver till next Tuesday! what happened to Saturday and Monday? Needless to say we cancelled the Oder at the shop and we will never purchase anything from them again. Looking on line two other companies could have delivered the next day but we thought it would be better to purchase locally how wrong we were.",2019-05-11
2,5cd5f722a843690bd00b203a,"I bought a new Beko washing machine from Currys, and on delivery found that a container for liquid soap, mentioned in the manual was not supplied. The store phoned Beko for me, and they said the part would be delivered as soon as possible. When the part had not arrived after a week, I received an email from Beko saying I would have to pay for it. I went back to the store and they only phoned Beko after I insisted. Beko gave Currys the same reply, despite Beko's employee making a promise to Currys over the phone which was not kept. Beko sent me supposed evidence, very weak, 'proving' that this part is an extra. It is absolutely ridiculous that they both made such a stand about a part worth pennies, but essential for full use of the machine.. Whatever happened to customer satisfaction. I left the store after telling the manager that companies only stayed in business by giving good customer service. No wonder people are shopping on the internet with service like this.",2019-05-10
3,5cd5bbcba8436908c416455d,"I had a problem with my computer last Sunday the 5th of May. I decided to take it to Currys PC world at Torquay.The engineer was Balazs who was wonderful, he did a wonderful job, and fixed my computer. I am very grateful for his help. Thank you very much.",2019-05-10
4,5cd569a2a8436908c416119c,"Following on from my previous review, I’ve now been offered 435/ half the price paid for my broken product. When I have challenged this decision I’ve been told by the social media team that I would have to speak to the chief exec of the company. Horrific experience encountered overall with Curry’s. Currently looking into legal advice.",2019-05-10
5,5cd566dba843690af0d8fae2,"Buckle up folks because I’m about to tell you all about my nightmare experience with this company...Ordered a fridge and washing machine from them 27th April at the White City store. The systems were down but we were assured that our delivery date of a week later would be met for both items and that we’d get a telephone call confirming this the next day. No surprise there was no phone call. It reached Tuesday and we got in touch to check all was ok for our agreed date. No surprise again that there was a problem getting the fridge for then. After speaking with three different people we were told the delivery date would be the 8th, then the 9th and then 29th May. Absolute debacle so we cancelled the fridge order and continued with the washing machine. Paid for installation and they met agreed delivery date of 4th May. Guy came and installed it blocking access to kitchen cupboards, I asked him to move it to the other space we have for it and the guy says ‘no, it’s done now’ switched on a test wash and left. So we called back to ask someone to move it and install it. Guy comes out two days later does it also leaves after turning on a test wash. 15 minutes later we call the guy back to ask him to check it as the machine isn’t draining- no response. Called Curry’s customer service line, they sent another team today 10th May and they’ve identified a problem with the machine. We’ve been unable to do laundry for two weeks. We’ve been passed from pillar to post through curry’s various customer service teams and they keep passing us off to bosch. No sense of urgency or customer care from this company. Absolutely rubbish service and a complete nightmare when you’re trying to move house. I can honestly say pop into the store to look at the product and get it online from another business because this experience has been an utter farce.UPDATE: thanks for responding to my review and providing a contact email address.",2019-05-10
6,5cd53c5ea843690a7cd0ef2e,"Retailers complain that customers are ""abandoning"" stores and shopping with online competitors, but maybe if their stock control was better they may find they get more direct custom. The last few times I have gone to Currys to buy items (white Echo Spot/Dyson dehumidifier/Epson printer) they have been out of stock. I was happy to get the printer delivered but inexplicably it was not ""available for home delivery"" and the nearest stock was at a store far away from both my nearest branches. So, as much as I want to support physical stores, they need to up their game first.",2019-05-10
7,5cd45769a843690a7cd0a49e,"Had a look around for a new range cooker ,there was a good choice in currys also compared other internet sites but there wasn’t much between them.So decided to go with Curry’s only issue was the cost of installation £100 ,so I had a local guy to install it for me cost £80 .But it was delivered on time and two helpful guys all in all a good service.",2019-05-09
8,5cd4575fa843690a7cd0a498,"Be careful about what you buy. Curry is aware of possible software issues but will not let you know of their existence when you buy. And how software problems can generate random errors, they keep silent until you need service for the purchased item. And as the warranty does not cover the sotware side, I wish you success in shopping from the curry.",2019-05-09
9,5cd44013a843690b18343b1c,"Just visited the Southend on Sea Branch. Firstly, Ordered a product that arrived a day late at store. Secondly, the item arrived with the packaging already opened with a used product inside.Thirdly, received the most vile and disgusting attitude from the duty manager Andy. Curry's is without doubt already known to be Britain's worst electrical retailer. Thank you Andy for making my experience with Curry's one of the worst in history. Hopefully enough people will complain about your disgusting attitude and total disregard for customers and Curry's will fire you!",2019-05-09
10,5cd4295ea843690a7cd085b1,"I bought a fridge on Friday with a commitment to deliver on the following Wednesday. All good exactly the day we wanted. I got a text to say delivery would be between 16.10 and 20.10. OK not ideal but we can cope, someone was in the whole time.They didnt show up. NO message, no phone. Meanwhile the freezer food goes to waste. The switch board closes at 20.00 so we cant ring them. But the online tracker says delivery on Friday. Seemed to forget there was a day inbetween!Ring today to find out what happened. Drivers had reached there hours limit for the day. I understand this from a H&S point of view. But this was obvious from the start. So my assessment, dont believe a word that is said. Dont expect any communication that is helpful, dont expect proactive behaviour and generally look to buy from a store that delivers every time when they say they will.",2019-05-09
11,5cd401c4a8436908c4157655,"AVOID AT ALL COSTS!!!Went into the Watford branch to order an American fridge freezer a whole month ago. Arranged delivery waited in all day for no one to turn up! When i called to find out where they were i was told they were in an accident and they would rearange delivery for the next day. I had to arrange for someone to be home as i had taken the privious day off work for the delivery. When i arrived home that day i found they had delivered the wrong one. Its was a much smaller, cheaper one. When i called them they said they couldnt collect for almost a week!!!!When they eventually came to pick it up the delivery guys came in took one look at it and said that they didnt have the tools to take it away and they would have to rearrange for someone else to collect! So, a few days later they collect it but i still didnt receive my fridge freezer!!!!Yesterday it was meant to be delivered but AGAIN the delivery guys have an excuse not to do their job.. They cant leave the truck, its too big to move etc... And again delivery was arranged for today, they turn up start looking for the fridge freezer to eventually be told they dont have on the lorry!! I have lost 7 days loss of earnings, god knows how much on phone calls to customer services who have been useless. Needless to say we have cancelled our order and taking our money to a compnay who knows what they are doing!!! We have waited a whole month in total just to get a fridge freezer!!!",2019-05-09
